,id,room_id/id,temp,out/in,date,time
114,__export__.temp_log_195872_6f0767e8,Room Admin,40,0,2018-12-08,08:11:00
115,__export__.temp_log_195867_b370c0e5,Room Admin,29,1,2018-12-08,08:10:00
116,__export__.temp_log_195869_b3533a1a,Room Admin,29,1,2018-12-08,08:10:00
117,__export__.temp_log_195863_8fec02dc,Room Admin,29,1,2018-12-08,08:08:00
118,__export__.temp_log_195862_437cc596,Room Admin,29,1,2018-12-08,08:08:00
119,__export__.temp_log_195859_401ac233,Room Admin,40,0,2018-12-08,08:07:00
120,__export__.temp_log_195858_e99304af,Room Admin,40,0,2018-12-08,08:07:00
121,__export__.temp_log_195855_0cae6cd7,Room Admin,29,1,2018-12-08,08:06:00
122,__export__.temp_log_195854_31c44924,Room Admin,29,1,2018-12-08,08:06:00
123,__export__.temp_log_195850_ac3cefe9,Room Admin,40,0,2018-12-08,08:05:00
124,__export__.temp_log_195851_e5ff2539,Room Admin,40,0,2018-12-08,08:05:00
125,__export__.temp_log_195843_94e9ddeb,Room Admin,29,1,2018-12-08,08:04:00
126,__export__.temp_log_195841_4309bd29,Room Admin,41,0,2018-12-08,08:04:00
127,__export__.temp_log_195839_47cb936e,Room Admin,29,1,2018-12-08,08:04:00
128,__export__.temp_log_195835_c9e1c966,Room Admin,41,0,2018-12-08,08:03:00
129,__export__.temp_log_195832_c1f30f3b,Room Admin,29,1,2018-12-08,08:03:00
130,__export__.temp_log_195827_415cb68d,Room Admin,29,1,2018-12-08,08:02:00
131,__export__.temp_log_195825_8b52d359,Room Admin,29,1,2018-12-08,08:01:00
132,__export__.temp_log_195819_aeb37aba,Room Admin,29,1,2018-12-08,07:58:00
133,__export__.temp_log_195814_cb52225d,Room Admin,29,1,2018-12-08,07:56:00
134,__export__.temp_log_195808_350db3da,Room Admin,40,0,2018-12-08,07:56:00
135,__export__.temp_log_195809_1a7adc53,Room Admin,29,1,2018-12-08,07:56:00
136,__export__.temp_log_195804_2def877a,Room Admin,40,0,2018-12-08,07:55:00
137,__export__.temp_log_195802_113aa722,Room Admin,29,1,2018-12-08,07:54:00
138,__export__.temp_log_195799_9326dd39,Room Admin,29,1,2018-12-08,07:52:00
139,__export__.temp_log_195796_19025bcd,Room Admin,29,1,2018-12-08,07:52:00
140,__export__.temp_log_195797_2c2a633b,Room Admin,41,0,2018-12-08,07:52:00
141,__export__.temp_log_195793_f138a506,Room Admin,41,0,2018-12-08,07:51:00
142,__export__.temp_log_195791_42832358,Room Admin,29,1,2018-12-08,07:51:00
143,__export__.temp_log_195789_e73d0273,Room Admin,29,1,2018-12-08,07:50:00
144,__export__.temp_log_195786_0e1a8c21,Room Admin,40,0,2018-12-08,07:48:00
145,__export__.temp_log_195784_be4e2149,Room Admin,40,0,2018-12-08,07:47:00
146,__export__.temp_log_195781_d191f832,Room Admin,29,1,2018-12-08,07:46:00
147,__export__.temp_log_195778_33c5ac50,Room Admin,29,1,2018-12-08,07:44:00
